[2021-10-28 22:18:43,751] [INFO] ************************************* Maxims_VMP_Report Start *************************************
[2021-10-28 22:18:43,751] [INFO] ['Maxims_VMP_Report.py']
[2021-10-28 22:18:43,752] [INFO] ************************************* readCSV Start *************************************
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'File ID', 'File Date', 'MID', 'MID name']
[2021-10-28 22:18:43,754] [INFO] ['`RH', '`852000058140011_20211027', '`20211027', '`852000058140011', '`Maxims MX']
[2021-10-28 22:18:43,754] [INFO] ['Record Identifier', 'Settlement Date', 'Terminal ID', 'Batch Number', 'Transaction Date', 'Transaction Time', 'Settlement no', 'Payment Type', 'Currency', 'Wallet Version', 'FX Rate', 'Transaction amount HKD', 'Transaction amount RMB', 'MDR Fee HKD', 'MDR', 'Net Amount HKD', 'Trace Number', 'Trans Type', 'RRN', 'Merchant RRN', 'User confirm key']
[2021-10-28 22:18:43,769] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`102915', '`2021102722001361791411425325', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`30', '`', '`0.36', '`', '`29.64', '`7992596', '`S', '`58140011000070111tdav90bf296', '`04998904835200102702', '`852000058140011']
[2021-10-28 22:18:43,769] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`103551', '`2021102722001309801455822108', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`45.5', '`', '`0.55', '`', '`44.95', '`7992768', '`S', '`58140011000070111tdav96bi491', '`04998904835500102742', '`852000058140011']
[2021-10-28 22:18:43,770] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`105121', '`2021102722001398211404191335', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`38.5', '`', '`0.46', '`', '`38.04', '`7993165', '`S', '`58140011000070111tdav9l39949', '`04998904836000102756', '`852000058140011']
[2021-10-28 22:18:43,770] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`105321', '`2021102722001312471408149288', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`42.5', '`', '`0.51', '`', '`41.99', '`7993234', '`S', '`58140011000070111tdav9nnk024', '`04998904836100102711', '`852000058140011']
[2021-10-28 22:18:43,771] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`105953', '`2021102722001370441408364723', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`34', '`', '`0.41', '`', '`33.59', '`7993397', '`S', '`58140011000070111tdav9tqc205', '`04998904836300102742', '`852000058140011']
[2021-10-28 22:18:43,771] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`110013', '`2021102722001393431402909542', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`32', '`', '`0.38', '`', '`31.62', '`7993390', '`S', '`58140011000070111tdav9tv5198', '`04998904836200102720', '`852000058140011']
[2021-10-28 22:18:43,771] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`110102', '`2021102722001333461416321753', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`42', '`', '`0.5', '`', '`41.5', '`7993430', '`S', '`58140011000070111tdavb5hk236', '`04998904836400102743', '`852000058140011']
[2021-10-28 22:18:43,772] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`110123', '`2021102722001388541407951450', '`ALIPAY', '`HKD', '`ALIPAYCN', '`', '`41', '`', '`0.49', '`', '`40.51', '`7993438', '`S', '`58140011000070111tdavb6l1245', '`04998904836500102717', '`852000058140011']
[2021-10-28 22:18:43,772] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`110509', '`2021102722001373841419453394', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`109.5', '`', '`1.31', '`', '`108.19', '`7993515', '`S', '`58140011000070111tdavba86337', '`04998904836600102759', '`852000058140011']
[2021-10-28 22:18:43,773] [INFO] ['`RD', '`2021/10/28', '`02913', '`000001', '`20211027', '`111148', '`2021102722001323531413124005', '`ALIPAY', '`HKD', '`ALIPAYHK', '`', '`47', '`', '`0.56', '`', '`46.44', '`7993674', '`S', '`58140011000070111tdavbftm516', '`04998904836800102737', '`852000058140011']
